id,source_tab,enabled,category,keyword,recommended_word,morphological_setting,check_item,basic_comment_preview,explanation,admin_memo,source_file,source_page,source_row,extraction_note
11,ルール推敲,True,フリールール,ガラケー,フィーチャーフォン,OFF,ガラケー → フィーチャーフォン,フィーチャーフォン,独自ルールとして、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,11,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
12,ルール推敲,True,フリールール,パソコン,PC,OFF,パソコン → PC,PC,独自ルールとして、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,12,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
13,ルール推敲,True,フリールール,メインテナンス,メンテナンス,OFF,メインテナンス → メンテナンス,メンテナンス,独自ルールとして、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,13,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
14,ルール推敲,True,フリールール,ウィンドウ,ウインドウ,OFF,ウィンドウ → ウインドウ,ウインドウ,独自ルールとして、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,14,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
15,ルール推敲,True,フリールール,楽,ラク,OFF,楽 → ラク,ラク,独自ルールとして、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,15,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
16,ルール推敲,True,フリールール,宛,宛て,OFF,宛 → 宛て,宛て,独自ルールとして、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,16,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
17,ルール推敲,True,フリールール,わたしたち,私たち,OFF,わたしたち → 私たち,私たち,独自ルールとして、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,17,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
18,ルール推敲,True,フリールール,充分,十分,OFF,充分 → 十分,十分,独自ルールとして、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,18,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
19,ルール推敲,True,漢字で書くほうがよい言葉,がんばる,頑張る,OFF,がんばる → 頑張る,「頑張る」と漢字で書くほうがよいかもしれません。,表記を統一するため、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,19,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
20,ルール推敲,True,フリールール,引越,引っ越し,OFF,引越 → 引っ越し,引っ越し,独自ルールとして、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,20,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
21,ルール推敲,True,フリールール,引越し,引っ越し,OFF,引越し → 引っ越し,引っ越し,独自ルールとして、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,21,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
22,ルール推敲,True,フリールール,乗換,乗り換え,OFF,乗換 → 乗り換え,乗り換え,独自ルールとして、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,22,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
23,ルール推敲,True,フリールール,乗換え,乗り換え,OFF,乗換え → 乗り換え,乗り換え,独自ルールとして、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,23,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
24,ルール推敲,True,フリールール,税別,税抜,OFF,税別 → 税抜,税抜,独自ルールとして、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,24,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
25,ルール推敲,True,フリールール,税抜き,税抜,OFF,税抜き → 税抜,税抜,独自ルールとして、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,25,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
26,ルール推敲,True,漢字で書くほうがよい言葉,くわしい,詳しい,OFF,くわしい → 詳しい,「詳しい」と漢字で書くほうがよいかもしれません。,表記を統一するため、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,26,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
27,ルール推敲,True,漢字で書くほうがよい言葉,うけたまわる,承る,OFF,うけたまわる → 承る,「承る」と漢字で書くほうがよいかもしれません。,表記を統一するため、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,27,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
28,ルール推敲,True,漢字で書くほうがよい言葉,売り上げ,売上,OFF,売り上げ → 売上,「売上」と漢字で書くほうがよいかもしれません。,表記を統一するため、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,28,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
29,ルール推敲,True,カタカナで書くほうがよい言葉,押す,クリック,OFF,押す → クリック,「クリック」とカタカナで書くほうがよいかもしれません。,表記を統一するため、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,29,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
30,ルール推敲,True,カタカナで書くほうがよい言葉,押下,クリック,OFF,押下 → クリック,「クリック」とカタカナで書くほうがよいかもしれません。,表記を統一するため、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,30,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
31,ルール推敲,True,カタカナで書くほうがよい言葉,オーナー様,ショップ様,OFF,オーナー様 → ショップ様,「ショップ様」とカタカナで書くほうがよいかもしれません。,表記を統一するため、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,31,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
32,ルール推敲,True,カタカナで書くほうがよい言葉,管理者,ショップ様,OFF,管理者 → ショップ様,「ショップ様」とカタカナで書くほうがよいかもしれません。,表記を統一するため、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,32,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
33,ルール推敲,True,カタカナで書くほうがよい言葉,一から,イチから,OFF,一から → イチから,「イチから」とカタカナで書くほうがよいかもしれません。,表記を統一するため、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,33,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
34,ルール推敲,True,カタカナで書くほうがよい言葉,EXCEL,エクセル,OFF,EXCEL → エクセル,「エクセル」とカタカナで書くほうがよいかもしれません。,表記を統一するため、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,34,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
35,ルール推敲,True,ひらがなで書くほうがよい言葉,丁度,ちょうど,OFF,丁度 → ちょうど,「ちょうど」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,35,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
36,ルール推敲,True,ひらがなで書くほうがよい言葉,騙す,だます,OFF,騙す → だます,「だます」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,36,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
37,ルール推敲,True,ひらがなで書くほうがよい言葉,時,とき,OFF,時 → とき,「とき」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,37,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
38,ルール推敲,True,ひらがなで書くほうがよい言葉,事,こと,OFF,事 → こと,「こと」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,38,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
39,ルール推敲,True,ひらがなで書くほうがよい言葉,等,など,OFF,等 → など,「など」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,39,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
40,ルール推敲,True,ひらがなで書くほうがよい言葉,為,ため,OFF,為 → ため,「ため」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,40,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
41,ルール推敲,True,ひらがなで書くほうがよい言葉,尚,なお,OFF,尚 → なお,「なお」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,41,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
42,ルール推敲,True,ひらがなで書くほうがよい言葉,し易い,しやすい,OFF,し易い → しやすい,「しやすい」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,42,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
43,ルール推敲,True,ひらがなで書くほうがよい言葉,の所,のところ,OFF,の所 → のところ,「のところ」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,43,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
44,ルール推敲,True,ひらがなで書くほうがよい言葉,更に,さらに,OFF,更に → さらに,「さらに」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,44,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
45,ルール推敲,True,ひらがなで書くほうがよい言葉,する上で,するうえで,OFF,する上で → するうえで,「するうえで」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,45,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
46,ルール推敲,True,ひらがなで書くほうがよい言葉,当たり,あたり,OFF,当たり → あたり,「あたり」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,46,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
47,ルール推敲,True,ひらがなで書くほうがよい言葉,表す,あらわす,OFF,表す → あらわす,「あらわす」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,47,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
48,ルール推敲,True,ひらがなで書くほうがよい言葉,大変,たいへん,OFF,大変 → たいへん,「たいへん」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,48,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
49,ルール推敲,True,ひらがなで書くほうがよい言葉,にも関わらず,にもかかわらず,OFF,にも関わらず → にもかかわらず,「にもかかわらず」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,49,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
50,ルール推敲,True,ひらがなで書くほうがよい言葉,にも拘わらず,にもかかわらず,OFF,にも拘わらず → にもかかわらず,「にもかかわらず」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,50,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
51,ルール推敲,True,ひらがなで書くほうがよい言葉,以って,もって,OFF,以って → もって,「もって」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 034相当 / ルール推敲 2/4ページ,2,1,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
52,ルール推敲,True,ひらがなで書くほうがよい言葉,以て,もって,OFF,以て → もって,「もって」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 034相当 / ルール推敲 2/4ページ,2,2,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
53,ルール推敲,True,ひらがなで書くほうがよい言葉,頂ける,いただける,OFF,頂ける → いただける,「いただける」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 034相当 / ルール推敲 2/4ページ,2,3,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
54,ルール推敲,True,ひらがなで書くほうがよい言葉,て頂き,いただき,OFF,て頂き → いただき,「いただき」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 034相当 / ルール推敲 2/4ページ,2,4,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
55,ルール推敲,True,ひらがなで書くほうがよい言葉,一つ一つ,一つひとつ,OFF,一つ一つ → 一つひとつ,「一つひとつ」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 034相当 / ルール推敲 2/4ページ,2,5,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
56,ルール推敲,True,ひらがなで書くほうがよい言葉,戴き,いただき,OFF,戴き → いただき,「いただき」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 034相当 / ルール推敲 2/4ページ,2,6,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
57,ルール推敲,True,ひらがなで書くほうがよい言葉,未だ,まだ or いまだ,OFF,未だ → まだ or いまだ,「まだ or いまだ」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 034相当 / ルール推敲 2/4ページ,2,7,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
58,ルール推敲,True,ひらがなで書くほうがよい言葉,1つ1つ,一つひとつ,OFF,1つ1つ → 一つひとつ,「一つひとつ」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 034相当 / ルール推敲 2/4ページ,2,8,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
59,ルール推敲,True,ひらがなで書くほうがよい言葉,1つ１つ,一つひとつ,OFF,1つ１つ → 一つひとつ,「一つひとつ」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 034相当 / ルール推敲 2/4ページ,2,9,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
60,ルール推敲,True,ひらがなで書くほうがよい言葉,早速,さっそく,OFF,早速 → さっそく,「さっそく」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 034相当 / ルール推敲 2/4ページ,2,10,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
61,ルール推敲,True,ひらがなで書くほうがよい言葉,1人,ひとり,OFF,1人 → ひとり,「ひとり」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 034相当 / ルール推敲 2/4ページ,2,11,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
62,ルール推敲,True,ひらがなで書くほうがよい言葉,1人1人,一人ひとり,OFF,1人1人 → 一人ひとり,「一人ひとり」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 034相当 / ルール推敲 2/4ページ,2,12,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
63,ルール推敲,True,ひらがなで書くほうがよい言葉,一人一人,一人ひとり,OFF,一人一人 → 一人ひとり,「一人ひとり」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 034相当 / ルール推敲 2/4ページ,2,13,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
64,ルール推敲,True,ひらがなで書くほうがよい言葉,１人１人,一人ひとり,OFF,１人１人 → 一人ひとり,「一人ひとり」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 034相当 / ルール推敲 2/4ページ,2,14,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
65,ルール推敲,True,ひらがなで書くほうがよい言葉,ひとり一人,一人ひとり,OFF,ひとり一人 → 一人ひとり,「一人ひとり」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 034相当 / ルール推敲 2/4ページ,2,15,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
66,ルール推敲,True,ひらがなで書くほうがよい言葉,という事,ということ,OFF,という事 → ということ,「ということ」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 034相当 / ルール推敲 2/4ページ,2,16,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
67,ルール推敲,True,ひらがなで書くほうがよい言葉,先ず,まず,OFF,先ず → まず,「まず」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 034相当 / ルール推敲 2/4ページ,2,17,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
